params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
							fastNlMeansDenoisingMulti(srcImgs: _typing.Sequence[UMat], imgToDenoiseIndex: int, temporalWindowSize: int, dst: UMat | None, h: float, templateWindowSize: int, searchWindowSize: int) -> UMat	floodFill(image: UMat, mask: UMat | None, seedPoint: cv2.typing.Point, newVal: cv2.typing.Scalar, loDiff: cv2.typing.Scalar, upDiff: cv2.typing.Scalar, flags: int) -> tuple[int, UMat, UMat, cv2.typing.Rect]
							fastNlMeansDenoisingMulti(srcImgs: _typing.Sequence[cv2.typing.MatLike], imgToDenoiseIndex: int, temporalWindowSize: int, h: _typing.Sequence[float], dst: cv2.typing.MatLike | None, templateWindowSize: int, searchWindowSize: int, normType: int) -> cv2.typing.MatLike	gemm(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, alpha: float, src3: cv2.typing.MatLike, beta: float, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike
							fastNlMeansDenoisingMulti(srcImgs: _typing.Sequence[UMat], imgToDenoiseIndex: int, temporalWindowSize: int, h: _typing.Sequence[float], dst: UMat | None, templateWindowSize: int, searchWindowSize: int, normType: int) -> UMat	gemm(src1: UMat, src2: UMat, alpha: float, src3: UMat, beta: float, dst: UMat | None, flags: int) -> UMat
							fillConvexPoly(img: cv2.typing.MatLike, points: cv2.typing.MatLike, color: cv2.typing.Scalar, lineType: int, shift: int) -> cv2.typing.MatLike	getAffineTransform(src: cv2.typing.MatLike, dst: cv2.typing.MatLike) -> cv2.typing.MatLike
							fillConvexPoly(img: UMat, points: UMat, color: cv2.typing.Scalar, lineType: int, shift: int) -> UMat	getAffineTransform(src: UMat, dst: UMat) -> cv2.typing.MatLike
							fillPoly(img: cv2.typing.MatLike, pts: _typing.Sequence[cv2.typing.MatLike], color: cv2.typing.Scalar, lineType: int, shift: int, offset: cv2.typing.Point) -> cv2.typing.MatLike	getBuildInformation() -> str
							fillPoly(img: UMat, pts: _typing.Sequence[UMat], color: cv2.typing.Scalar, lineType: int, shift: int, offset: cv2.typing.Point) -> UMat	getCPUFeaturesLine() -> str
							filter2D(src: cv2.typing.MatLike, ddepth: int, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, delta: float, borderType: int) -> cv2.typing.MatLike	getCPUTickCount() -> int
							filter2D(src: UMat, ddepth: int, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, delta: float, borderType: int) -> UMat	getDefaultAlgorithmHint() -> AlgorithmHint
							filterHomographyDecompByVisibleRefpoints(rotations: _typing.Sequence[cv2.typing.MatLike], normals: _typing.Sequence[cv2.typing.MatLike], beforePoints: cv2.typing.MatLike, afterPoints: cv2.typing.MatLike, possibleSolutions: cv2.typing.MatLike | None, pointsMask: cv2.typing.MatLike | None) -> cv2.typing.MatLike	getDefaultNewCameraMatrix(cameraMatrix: cv2.typing.MatLike, imgsize: cv2.typing.Size, centerPrincipalPoint: bool) -> cv2.typing.MatLike
							filterHomographyDecompByVisibleRefpoints(rotations: _typing.Sequence[UMat], normals: _typing.Sequence[UMat], beforePoints: UMat, afterPoints: UMat, possibleSolutions: UMat | None, pointsMask: UMat | None) -> UMat	getDefaultNewCameraMatrix(cameraMatrix: UMat, imgsize: cv2.typing.Size, centerPrincipalPoint: bool) -> cv2.typing.MatLike
							filterSpeckles(img: cv2.typing.MatLike, newVal: float, maxSpeckleSize: int, maxDiff: float, buf: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	getDerivKernels(dx: int, dy: int, ksize: int, kx: cv2.typing.MatLike | None, ky: cv2.typing.MatLike | None, normalize: bool, ktype: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							filterSpeckles(img: UMat, newVal: float, maxSpeckleSize: int, maxDiff: float, buf: UMat | None) -> tuple[UMat, UMat]	getDerivKernels(dx: int, dy: int, ksize: int, kx: UMat | None, ky: UMat | None, normalize: bool, ktype: int) -> tuple[UMat, UMat]
							find4QuadCornerSubpix(img: cv2.typing.MatLike, corners: cv2.typing.MatLike, region_size: cv2.typing.Size) -> tuple[bool, cv2.typing.MatLike]	getFontScaleFromHeight(fontFace: int, pixelHeight: int, thickness: int) -> float
							find4QuadCornerSubpix(img: UMat, corners: UMat, region_size: cv2.typing.Size) -> tuple[bool, UMat]	getGaborKernel(ksize: cv2.typing.Size, sigma: float, theta: float, lambd: float, gamma: float, psi: float, ktype: int) -> cv2.typing.MatLike
							findChessboardCorners(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, corners: cv2.typing.MatLike | None, flags: int) -> tuple[bool, cv2.typing.MatLike]	getGaussianKernel(ksize: int, sigma: float, ktype: int) -> cv2.typing.MatLike
							findChessboardCorners(image: UMat, patternSize: cv2.typing.Size, corners: UMat | None, flags: int) -> tuple[bool, UMat]	getHardwareFeatureName(feature: int) -> str
							findChessboardCornersSB(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, corners: cv2.typing.MatLike | None, flags: int) -> tuple[bool, cv2.typing.MatLike]	getLogLevel() -> int
							findChessboardCornersSB(image: UMat, patternSize: cv2.typing.Size, corners: UMat | None, flags: int) -> tuple[bool, UMat]	getNumThreads() -> int
							findChessboardCornersSBWithMeta(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, flags: int, corners: cv2.typing.MatLike | None, meta: cv2.typing.MatLike | None) -> tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike]	getNumberOfCPUs() -> int
							findChessboardCornersSBWithMeta(image: UMat, patternSize: cv2.typing.Size, flags: int, corners: UMat | None, meta: UMat | None) -> tuple[bool, UMat, UMat]	getOptimalDFTSize(vecsize: int) -> int
							findCirclesGrid(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, flags: int, blobDetector: cv2.typing.FeatureDetector, parameters: CirclesGridFinderParameters, centers: cv2.typing.MatLike | None) -> tuple[bool, cv2.typing.MatLike]	getOptimalNewCameraMatrix(cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, imageSize: cv2.typing.Size, alpha: float, newImgSize: cv2.typing.Size, centerPrincipalPoint: bool) -> tuple[cv2.typing.MatLike, cv2.typing.Rect]
							findCirclesGrid(image: UMat, patternSize: cv2.typing.Size, flags: int, blobDetector: cv2.typing.FeatureDetector, parameters: CirclesGridFinderParameters, centers: UMat | None) -> tuple[bool, UMat]	getOptimalNewCameraMatrix(cameraMatrix: UMat, distCoeffs: UMat, imageSize: cv2.typing.Size, alpha: float, newImgSize: cv2.typing.Size, centerPrincipalPoint: bool) -> tuple[cv2.typing.MatLike, cv2.typing.Rect]
							findCirclesGrid(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, centers: cv2.typing.MatLike | None, flags: int, blobDetector: cv2.typing.FeatureDetector) -> tuple[bool, cv2.typing.MatLike]	getPerspectiveTransform(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, solveMethod: int) -> cv2.typing.MatLike
							findCirclesGrid(image: UMat, patternSize: cv2.typing.Size, centers: UMat | None, flags: int, blobDetector: cv2.typing.FeatureDetector) -> tuple[bool, UMat]	getPerspectiveTransform(src: UMat, dst: UMat, solveMethod: int) -> cv2.typing.MatLike
							findContours(image: cv2.typing.MatLike, mode: int, method: int, contours: _typing.Sequence[cv2.typing.MatLike] | None, hierarchy: cv2.typing.MatLike | None, offset: cv2.typing.Point) -> tuple[_typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike]	getRectSubPix(image: cv2.typing.MatLike, patchSize: cv2.typing.Size, center: cv2.typing.Point2f, patch: cv2.typing.MatLike | None, patchType: int) -> cv2.typing.MatLike
							findContours(image: UMat, mode: int, method: int, contours: _typing.Sequence[UMat] | None, hierarchy: UMat | None, offset: cv2.typing.Point) -> tuple[_typing.Sequence[UMat], UMat]	getRectSubPix(image: UMat, patchSize: cv2.typing.Size, center: cv2.typing.Point2f, patch: UMat | None, patchType: int) -> UMat
							findContoursLinkRuns(image: cv2.typing.MatLike, contours: _typing.Sequence[cv2.typing.MatLike] | None, hierarchy: cv2.typing.MatLike | None) -> tuple[_typing.Sequence[cv2.typing.MatLike], cv2.typing.MatLike]	getRotationMatrix2D(center: cv2.typing.Point2f, angle: float, scale: float) -> cv2.typing.MatLike
							findContoursLinkRuns(image: UMat, contours: _typing.Sequence[UMat] | None, hierarchy: UMat | None) -> tuple[_typing.Sequence[UMat], UMat]	getStructuringElement(shape: int, ksize: cv2.typing.Size, anchor: cv2.typing.Point) -> cv2.typing.MatLike
							findContoursLinkRuns(image: cv2.typing.MatLike, contours: _typing.Sequence[cv2.typing.MatLike] | None) -> _typing.Sequence[cv2.typing.MatLike]	getTextSize(text: str, fontFace: int, fontScale: float, thickness: int) -> tuple[cv2.typing.Size, int]
							findContoursLinkRuns(image: UMat, contours: _typing.Sequence[UMat] | None) -> _typing.Sequence[UMat]	getThreadNum() -> int
							findEssentialMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, method: int, prob: float, threshold: float, maxIters: int, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	getTickCount() -> int
							findEssentialMat(points1: UMat, points2: UMat, cameraMatrix: UMat, method: int, prob: float, threshold: float, maxIters: int, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	getTickFrequency() -> float
							findEssentialMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, focal: float, pp: cv2.typing.Point2d, method: int, prob: float, threshold: float, maxIters: int, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	getTrackbarPos(trackbarname: str, winname: str) -> int
							findEssentialMat(points1: UMat, points2: UMat, focal: float, pp: cv2.typing.Point2d, method: int, prob: float, threshold: float, maxIters: int, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	getValidDisparityROI(roi1: cv2.typing.Rect, roi2: cv2.typing.Rect, minDisparity: int, numberOfDisparities: int, blockSize: int) -> cv2.typing.Rect
							findEssentialMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix1: cv2.typing.MatLike, distCoeffs1: cv2.typing.MatLike, cameraMatrix2: cv2.typing.MatLike, distCoeffs2: cv2.typing.MatLike, method: int, prob: float, threshold: float, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	getVersionMajor() -> int
							findEssentialMat(points1: UMat, points2: UMat, cameraMatrix1: UMat, distCoeffs1: UMat, cameraMatrix2: UMat, distCoeffs2: UMat, method: int, prob: float, threshold: float, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	getVersionMinor() -> int
							findEssentialMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix1: cv2.typing.MatLike, cameraMatrix2: cv2.typing.MatLike, dist_coeff1: cv2.typing.MatLike, dist_coeff2: cv2.typing.MatLike, params: UsacParams, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	getVersionRevision() -> int
							findEssentialMat(points1: UMat, points2: UMat, cameraMatrix1: UMat, cameraMatrix2: UMat, dist_coeff1: UMat, dist_coeff2: UMat, params: UsacParams, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	getVersionString() -> str
							findFundamentalMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, method: int, ransacReprojThreshold: float, confidence: float, maxIters: int, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	getWindowImageRect(winname: str) -> cv2.typing.Rect
							findFundamentalMat(points1: UMat, points2: UMat, method: int, ransacReprojThreshold: float, confidence: float, maxIters: int, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	getWindowProperty(winname: str, prop_id: int) -> float
							findFundamentalMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, method: int, ransacReprojThreshold: float, confidence: float, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	goodFeaturesToTrack(image: cv2.typing.MatLike, maxCorners: int, qualityLevel: float, minDistance: float, corners: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None, blockSize: int, useHarrisDetector: bool, k: float) -> cv2.typing.MatLike
							findFundamentalMat(points1: UMat, points2: UMat, method: int, ransacReprojThreshold: float, confidence: float, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	goodFeaturesToTrack(image: UMat, maxCorners: int, qualityLevel: float, minDistance: float, corners: UMat | None, mask: UMat | None, blockSize: int, useHarrisDetector: bool, k: float) -> UMat
							findFundamentalMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, params: UsacParams, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	goodFeaturesToTrack(image: cv2.typing.MatLike, maxCorners: int, qualityLevel: float, minDistance: float, mask: cv2.typing.MatLike, blockSize: int, gradientSize: int, corners: cv2.typing.MatLike | None, useHarrisDetector: bool, k: float) -> cv2.typing.MatLike
							findFundamentalMat(points1: UMat, points2: UMat, params: UsacParams, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	goodFeaturesToTrack(image: UMat, maxCorners: int, qualityLevel: float, minDistance: float, mask: UMat, blockSize: int, gradientSize: int, corners: UMat | None, useHarrisDetector: bool, k: float) -> UMat
							findHomography(srcPoints: cv2.typing.MatLike, dstPoints: cv2.typing.MatLike, method: int, ransacReprojThreshold: float, mask: cv2.typing.MatLike | None, maxIters: int, confidence: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	goodFeaturesToTrackWithQuality(image: cv2.typing.MatLike, maxCorners: int, qualityLevel: float, minDistance: float, mask: cv2.typing.MatLike, corners: cv2.typing.MatLike | None, cornersQuality: cv2.typing.MatLike | None, blockSize: int, gradientSize: int, useHarrisDetector: bool, k: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							findHomography(srcPoints: UMat, dstPoints: UMat, method: int, ransacReprojThreshold: float, mask: UMat | None, maxIters: int, confidence: float) -> tuple[cv2.typing.MatLike, UMat]	goodFeaturesToTrackWithQuality(image: UMat, maxCorners: int, qualityLevel: float, minDistance: float, mask: UMat, corners: UMat | None, cornersQuality: UMat | None, blockSize: int, gradientSize: int, useHarrisDetector: bool, k: float) -> tuple[UMat, UMat]
							findHomography(srcPoints: cv2.typing.MatLike, dstPoints: cv2.typing.MatLike, params: UsacParams, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	grabCut(img: cv2.typing.MatLike, mask: cv2.typing.MatLike, rect: cv2.typing.Rect, bgdModel: cv2.typing.MatLike, fgdModel: cv2.typing.MatLike, iterCount: int, mode: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
							findHomography(srcPoints: UMat, dstPoints: UMat, params: UsacParams, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	grabCut(img: UMat, mask: UMat, rect: cv2.typing.Rect, bgdModel: UMat, fgdModel: UMat, iterCount: int, mode: int) -> tuple[UMat, UMat, UMat]
							findNonZero(src: cv2.typing.MatLike, idx: cv2.typing.MatLike | None) -> cv2.typing.MatLike	hasNonZero(src: cv2.typing.MatLike) -> bool
							findNonZero(src: UMat, idx: UMat | None) -> UMat	hasNonZero(src: UMat) -> bool
							findTransformECC(templateImage: cv2.typing.MatLike, inputImage: cv2.typing.MatLike, warpMatrix: cv2.typing.MatLike, motionType: int, criteria: cv2.typing.TermCriteria, inputMask: cv2.typing.MatLike, gaussFiltSize: int) -> tuple[float, cv2.typing.MatLike]	haveImageReader(filename: str) -> bool
							findTransformECC(templateImage: UMat, inputImage: UMat, warpMatrix: UMat, motionType: int, criteria: cv2.typing.TermCriteria, inputMask: UMat, gaussFiltSize: int) -> tuple[float, UMat]	haveImageWriter(filename: str) -> bool
							findTransformECC(templateImage: cv2.typing.MatLike, inputImage: cv2.typing.MatLike, warpMatrix: cv2.typing.MatLike, motionType: int, criteria: cv2.typing.TermCriteria, inputMask: cv2.typing.MatLike | None) -> tuple[float, cv2.typing.MatLike]	haveOpenVX() -> bool
							findTransformECC(templateImage: UMat, inputImage: UMat, warpMatrix: UMat, motionType: int, criteria: cv2.typing.TermCriteria, inputMask: UMat | None) -> tuple[float, UMat]	idct(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike
							fitEllipse(points: cv2.typing.MatLike) -> cv2.typing.RotatedRect	idct(src: UMat, dst: UMat | None, flags: int) -> UMat
							fitEllipse(points: UMat) -> cv2.typing.RotatedRect	idft(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int, nonzeroRows: int) -> cv2.typing.MatLike
							fitEllipseAMS(points: cv2.typing.MatLike) -> cv2.typing.RotatedRect	idft(src: UMat, dst: UMat | None, flags: int, nonzeroRows: int) -> UMat
							fitEllipseAMS(points: UMat) -> cv2.typing.RotatedRect	illuminationChange(src: cv2.typing.MatLike, mask: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, alpha: float, beta: float) -> cv2.typing.MatLike
							fitEllipseDirect(points: cv2.typing.MatLike) -> cv2.typing.RotatedRect	illuminationChange(src: UMat, mask: UMat, dst: UMat | None, alpha: float, beta: float) -> UMat
							fitEllipseDirect(points: UMat) -> cv2.typing.RotatedRect	imcount(filename: str, flags: int) -> int
							fitLine(points: cv2.typing.MatLike, distType: int, param: float, reps: float, aeps: float, line: cv2.typing.MatLike | None) -> cv2.typing.MatLike	imdecode(buf: cv2.typing.MatLike, flags: int) -> cv2.typing.MatLike
							fitLine(points: UMat, distType: int, param: float, reps: float, aeps: float, line: UMat | None) -> UMat	imdecode(buf: UMat, flags: int) -> cv2.typing.MatLike
							flip(src: cv2.typing.MatLike, flipCode: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	imread(filename: str, flags: int) -> cv2.typing.MatLike
							flip(src: UMat, flipCode: int, dst: UMat | None) -> UMat	imread(filename: str, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike
							flipND(src: cv2.typing.MatLike, axis: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	imread(filename: str, dst: UMat | None, flags: int) -> UMat
							flipND(src: UMat, axis: int, dst: UMat | None) -> UMat	imshow(winname: str, mat: cv2.typing.MatLike) -> None
							floodFill(image: cv2.typing.MatLike, mask: cv2.typing.MatLike | None, seedPoint: cv2.typing.Point, newVal: cv2.typing.Scalar, loDiff: cv2.typing.Scalar, upDiff: cv2.typing.Scalar, flags: int) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.Rect]	imshow(winname: str, mat: cv2.cuda.GpuMat) -> None
							floodFill(image: UMat, mask: UMat | None, seedPoint: cv2.typing.Point, newVal: cv2.typing.Scalar, loDiff: cv2.typing.Scalar, upDiff: cv2.typing.Scalar, flags: int) -> tuple[int, UMat, UMat, cv2.typing.Rect]	imshow(winname: str, mat: UMat) -> None
							gemm(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, alpha: float, src3: cv2.typing.MatLike, beta: float, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike	inRange(src: cv2.typing.MatLike, lowerb: cv2.typing.MatLike, upperb: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							gemm(src1: UMat, src2: UMat, alpha: float, src3: UMat, beta: float, dst: UMat | None, flags: int) -> UMat	inRange(src: UMat, lowerb: UMat, upperb: UMat, dst: UMat | None) -> UMat
							getAffineTransform(src: cv2.typing.MatLike, dst: cv2.typing.MatLike) -> cv2.typing.MatLike	initInverseRectificationMap(cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, R: cv2.typing.MatLike, newCameraMatrix: cv2.typing.MatLike, size: cv2.typing.Size, m1type: int, map1: cv2.typing.MatLike | None, map2: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							getAffineTransform(src: UMat, dst: UMat) -> cv2.typing.MatLike	initInverseRectificationMap(cameraMatrix: UMat, distCoeffs: UMat, R: UMat, newCameraMatrix: UMat, size: cv2.typing.Size, m1type: int, map1: UMat | None, map2: UMat | None) -> tuple[UMat, UMat]
							getBuildInformation() -> str	initUndistortRectifyMap(cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, R: cv2.typing.MatLike, newCameraMatrix: cv2.typing.MatLike, size: cv2.typing.Size, m1type: int, map1: cv2.typing.MatLike | None, map2: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							getCPUFeaturesLine() -> str	initUndistortRectifyMap(cameraMatrix: UMat, distCoeffs: UMat, R: UMat, newCameraMatrix: UMat, size: cv2.typing.Size, m1type: int, map1: UMat | None, map2: UMat | None) -> tuple[UMat, UMat]
							getCPUTickCount() -> int	inpaint(src: cv2.typing.MatLike, inpaintMask: cv2.typing.MatLike, inpaintRadius: float, flags: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							getDefaultAlgorithmHint() -> AlgorithmHint	inpaint(src: UMat, inpaintMask: UMat, inpaintRadius: float, flags: int, dst: UMat | None) -> UMat
							getDefaultNewCameraMatrix(cameraMatrix: cv2.typing.MatLike, imgsize: cv2.typing.Size, centerPrincipalPoint: bool) -> cv2.typing.MatLike	insertChannel(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, coi: int) -> cv2.typing.MatLike
							getDefaultNewCameraMatrix(cameraMatrix: UMat, imgsize: cv2.typing.Size, centerPrincipalPoint: bool) -> cv2.typing.MatLike	insertChannel(src: UMat, dst: UMat, coi: int) -> UMat
							getDerivKernels(dx: int, dy: int, ksize: int, kx: cv2.typing.MatLike | None, ky: cv2.typing.MatLike | None, normalize: bool, ktype: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	integral(src: cv2.typing.MatLike, sum: cv2.typing.MatLike | None, sdepth: int) -> cv2.typing.MatLike
							getDerivKernels(dx: int, dy: int, ksize: int, kx: UMat | None, ky: UMat | None, normalize: bool, ktype: int) -> tuple[UMat, UMat]	integral(src: UMat, sum: UMat | None, sdepth: int) -> UMat
							getFontScaleFromHeight(fontFace: int, pixelHeight: int, thickness: int) -> float	integral2(src: cv2.typing.MatLike, sum: cv2.typing.MatLike | None, sqsum: cv2.typing.MatLike | None, sdepth: int, sqdepth: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							getGaborKernel(ksize: cv2.typing.Size, sigma: float, theta: float, lambd: float, gamma: float, psi: float, ktype: int) -> cv2.typing.MatLike	integral2(src: UMat, sum: UMat | None, sqsum: UMat | None, sdepth: int, sqdepth: int) -> tuple[UMat, UMat]
							getGaussianKernel(ksize: int, sigma: float, ktype: int) -> cv2.typing.MatLike	integral3(src: cv2.typing.MatLike, sum: cv2.typing.MatLike | None, sqsum: cv2.typing.MatLike | None, tilted: cv2.typing.MatLike | None, sdepth: int, sqdepth: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]
							getHardwareFeatureName(feature: int) -> str	integral3(src: UMat, sum: UMat | None, sqsum: UMat | None, tilted: UMat | None, sdepth: int, sqdepth: int) -> tuple[UMat, UMat, UMat]
							getLogLevel() -> int	intersectConvexConvex(p1: cv2.typing.MatLike, p2: cv2.typing.MatLike, p12: cv2.typing.MatLike | None, handleNested: bool) -> tuple[float, cv2.typing.MatLike]
							getNumThreads() -> int	intersectConvexConvex(p1: UMat, p2: UMat, p12: UMat | None, handleNested: bool) -> tuple[float, UMat]
							getNumberOfCPUs() -> int	invert(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int) -> tuple[float, cv2.typing.MatLike]
							getOptimalDFTSize(vecsize: int) -> int	invert(src: UMat, dst: UMat | None, flags: int) -> tuple[float, UMat]
							getOptimalNewCameraMatrix(cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, imageSize: cv2.typing.Size, alpha: float, newImgSize: cv2.typing.Size, centerPrincipalPoint: bool) -> tuple[cv2.typing.MatLike, cv2.typing.Rect]	invertAffineTransform(M: cv2.typing.MatLike, iM: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							getOptimalNewCameraMatrix(cameraMatrix: UMat, distCoeffs: UMat, imageSize: cv2.typing.Size, alpha: float, newImgSize: cv2.typing.Size, centerPrincipalPoint: bool) -> tuple[cv2.typing.MatLike, cv2.typing.Rect]	invertAffineTransform(M: UMat, iM: UMat | None) -> UMat
							getPerspectiveTransform(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, solveMethod: int) -> cv2.typing.MatLike	isContourConvex(contour: cv2.typing.MatLike) -> bool
							getPerspectiveTransform(src: UMat, dst: UMat, solveMethod: int) -> cv2.typing.MatLike	isContourConvex(contour: UMat) -> bool
							getRectSubPix(image: cv2.typing.MatLike, patchSize: cv2.typing.Size, center: cv2.typing.Point2f, patch: cv2.typing.MatLike | None, patchType: int) -> cv2.typing.MatLike	kmeans(data: cv2.typing.MatLike, K: int, bestLabels: cv2.typing.MatLike, criteria: cv2.typing.TermCriteria, attempts: int, flags: int, centers: cv2.typing.MatLike | None) -> tuple[float, cv2.typing.MatLike, cv2.typing.MatLike]
							getRectSubPix(image: UMat, patchSize: cv2.typing.Size, center: cv2.typing.Point2f, patch: UMat | None, patchType: int) -> UMat	kmeans(data: UMat, K: int, bestLabels: UMat, criteria: cv2.typing.TermCriteria, attempts: int, flags: int, centers: UMat | None) -> tuple[float, UMat, UMat]
							getRotationMatrix2D(center: cv2.typing.Point2f, angle: float, scale: float) -> cv2.typing.MatLike	line(img: cv2.typing.MatLike, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> cv2.typing.MatLike
							getStructuringElement(shape: int, ksize: cv2.typing.Size, anchor: cv2.typing.Point) -> cv2.typing.MatLike	line(img: UMat, pt1: cv2.typing.Point, pt2: cv2.typing.Point, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> UMat
							getTextSize(text: str, fontFace: int, fontScale: float, thickness: int) -> tuple[cv2.typing.Size, int]	linearPolar(src: cv2.typing.MatLike, center: cv2.typing.Point2f, maxRadius: float, flags: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							getThreadNum() -> int	linearPolar(src: UMat, center: cv2.typing.Point2f, maxRadius: float, flags: int, dst: UMat | None) -> UMat
							getTickCount() -> int	log(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							getTickFrequency() -> float	log(src: UMat, dst: UMat | None) -> UMat
							getTrackbarPos(trackbarname: str, winname: str) -> int	logPolar(src: cv2.typing.MatLike, center: cv2.typing.Point2f, M: float, flags: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							getValidDisparityROI(roi1: cv2.typing.Rect, roi2: cv2.typing.Rect, minDisparity: int, numberOfDisparities: int, blockSize: int) -> cv2.typing.Rect	logPolar(src: UMat, center: cv2.typing.Point2f, M: float, flags: int, dst: UMat | None) -> UMat
							getVersionMajor() -> int	magnitude(x: cv2.typing.MatLike, y: cv2.typing.MatLike, magnitude: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							getVersionMinor() -> int	magnitude(x: UMat, y: UMat, magnitude: UMat | None) -> UMat
							getVersionRevision() -> int	matMulDeriv(A: cv2.typing.MatLike, B: cv2.typing.MatLike, dABdA: cv2.typing.MatLike | None, dABdB: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
